nist_name,nist_hashkey,doi,paper_title,inferred_formula,csd_identifier,match_confidence,inference_confidence,reasoning,source,csd_formula,has_disorder
Ni3(HCOO)6,NIST-MATDB-400a54c211461c9c02e23f9d230011d2,10.1016/j.cej.2017.06.141,Scalable solvent-free preparation of [Ni3(HCOO)6] frameworks for highly efficient separation of CH4 from N2,C6 H6 Ni3 O12,XOBXIW,0.92,0.95,"[Formula] The MOF name Ni3(HCOO)6 directly indicates the framework composition: 3 Ni atoms bonded to 6 formate (HCOO) ligands, yielding C6 H6 Ni3 O12 as the empirical formula of the framework. | [Match] XOBXIW has the formula (C12 H12 Ni6 O24)n, which when normalized to the asymmetric unit gives (C6 H6 Ni3 O12), exactly matching the target Ni3(HCOO)6 framework formula. This is the only candidate with perfect stoichiometric correspondence to the inferred framework formula after accounting for the polymeric nature (n suffix) and ignoring co-crystallized water.",llm_formula,"(C12 H12 Ni6 O24)n,2n(H2 O1)",True
NH2-UiO-66,NIST-MATDB-433e12da7d4cf072c9349e95e3f501c7,,,C14 H12 N2 O12 Zr6,SURKAT,0.72,0.85,"[Formula] NH2-UiO-66 is the amino-functionalized variant of UiO-66, which has the structure Zr6(μ3-O)4(μ3-OH)4(BDC)6 where BDC is benzene dicarboxylate; NH2-UiO-66 replaces BDC with 2-amino-BDC (NH2-BDC), giving the empirical formula C14H12N2O12Zr6 for the framework (Zr6 cluster with six NH2-BDC linkers). | [Match] NH2-UiO-66 is the aminofunctionalized variant of UiO-66, featuring 2-aminoterephthalic acid ligands coordinated to Zr6 oxide clusters. SURKAT (C24 H17 N3 O16 Zr3)n normalizes to approximately C8 H5.67 N1 O5.33 Zr per Zr, and represents the same framework chemistry with the characteristic Zr3 trinuclear unit and nitrogen-containing aromatic linkers that define NH2-UiO-66 derivatives.",llm_formula,(C24 H17 N3 O16 Zr3)n,True
Zr-BDC with defect,NIST-MATDB-45b1a20e632024f8e69fcf1f40a1c2ad,10.1021/acs.iecr.7b03341,Enhancing Higher Hydrocarbons Capture for Natural Gas Upgrading by Tuning van der Waals Interactions in <i>fcu</i>-Type Zr-MOFs,C8 H4 O4 Zr1,ZONBAH,0.72,0.75,"[Formula] The paper describes isostructural Zr-MOFs with different linkers (BDC, BPDC, FUM) in an fcu-type structure. Zr-BDC (terephthalic acid) as the primary reference compound consists of Zr metal nodes with benzene-1,4-dicarboxylate linkers, giving the empirical formula ZrC8H4O4 for the framework. | [Match] The paper describes a series of isostructural Zr-MOFs with BDC and related linkers (BPDC, FUM) in an fcu-type framework. ZONBAH with formula (C16 H8 O10 Zr2)n normalizes to C8 H4 O5 Zr, matching the BDC-Zr stoichiometry (C6H4(COO)2 = C8H4O4 per Zr, with framework oxygens giving C8H4O5). This represents the parent Zr-BDC structure, and the paper explicitly mentions defective structures with enhanced properties, consistent with ZONBAH being the base MOF referenced.",llm_formula,(C16 H8 O10 Zr2)n,False
MIL-100(Cr),NIST-MATDB-48f4023d446be2a618f2ac6acc88fee2,10.1002/cssc.201100716,A Method for Screening the Potential of MOFs as CO<sub>2</sub> Adsorbents in Pressure Swing Adsorption Processes,C6 H3 Cr1 O4,GEVWAI,0.85,0.85,"[Formula] MIL-100(Cr) is a well-known MOF with chromium trimers and trimesic acid (H3BTC) linkers; the empirical formula is derived from the 1:1 ratio of Cr3+ trimeric clusters to trimesate ligands, yielding Cr3(O)2(OH)(H2O)2(BTC)3 which simplifies to approximately C6 H3 Cr O4 per formula unit. | [Match] MIL-100(Cr) is a well-known Cr-based MOF with trimeric chromium oxide clusters and trimesic acid (benzene-1,3,5-tricarboxylic acid) linkers. GEVWAI with formula (C18 H6 Cr3 O12)n matches the expected structure: normalizing to per chromium gives C6 H2 Cr O4, consistent with the inferred framework formula C6 H3 Cr O4 (small H difference acceptable). The stoichiometric score of 0.88 is the highest among candidates, and the formula matches literature MIL-100(Cr) structures with trinuclear Cr3+ clusters and trimesate linkers.",llm_formula,(C18 H6 Cr3 O12)n,True
MOF-74,NIST-MATDB-49b1e69854030020562c1a51b5d17de8,10.1002/App.41633,Preparation and characterization of <scp>MOF‐PES</scp> ultrafiltration membranes,C6 H4 O5 Zn1,RIFDUG01,0.72,0.75,"[Formula] MOF-74 is a well-known structure with divalent metal centers (Zn or Co) coordinated to 2,5-dihydroxyterephthalic acid linkers; the paper explicitly mentions Zn/Co-MOF-74-type materials, and the empirical formula for the framework is derived from one metal center per linker unit with the formula composition of C6 H4 O5 M (where M = Zn or Co). | [Match] MOF-74 is a well-known 1D Zn-based framework with 2,5-dihydroxyterephthalic acid (DHTP) ligand. RIFDUG01 (C36 H24 O30 Zn6)n normalizes to (C6 H4 O5 Zn1)n, exactly matching the inferred NIST formula. The paper explicitly mentions synthesized Zn/Co-MOF-74 materials used as membrane fillers, confirming this is MOF-74. REGREC and XAKGOJ also match stoichiometrically but RIFDUG01 is the most likely canonical structure entry for this well-characterized MOF.",llm_formula,(C36 H24 O30 Zn6)n,True
UiO-66(Zr)-(COOH)2 (348K),NIST-MATDB-4c152ffd93a16296c5c57d29cb322126,10.1039/c4ta03992k,Acid-functionalized UiO-66(Zr) MOFs and their evolution after intra-framework cross-linking: structural features and sorption properties,C12 H8 O16 Zr6,BOHWUS,0.72,0.85,"[Formula] UiO-66(Zr) is a well-established MOF with Zr6O4(OH)4 clusters and terephthalate (BDC, C8H4O4) linkers. The carboxylic acid functionalization adds -COOH groups to the BDC linkers; with two carboxylic a | [Match] BOHWUS with formula (C12 H8 O16 Zr3)n matches the stoichiometry of the inferred framework formula C12 H8 O16 Zr6 when normalized (the NIST formula likely represents two formula units: 2×Zr3=Zr6). The paper describes acid-functionalized UiO-66(Zr) with carboxylic acid groups, and BOHWUS represents a Zr-based MOF with the correct C:O:Zr ratio characteristic of UiO-66 derivatives with carboxylic acid functionality.",llm_formula,"(C12 H8 O16 Zr3)n,6.18(H2 O1)",True
NH2-MOF-199,NIST-MATDB-4ed01a28c759ef54e7f1004e9987a6ee,,,C24 H20 Cu3 N4 O12,ECEYOB,0.95,0.75,"[Formula] NH2-MOF-199 is the amino-functionalized variant of MOF-199 (HKUST-1), which contains Cu3 paddle-wheel units connected by benzene-1,3,5-tricarboxylate linkers; the NH2 modification indicates amino groups on the benzene rings of the linker, yielding a formula based on 3 Cu atoms, 2 trimesate-derived ligands with amino substituents, and the oxygen from carboxylates. | [Match] ECEYOB has an exact match to the inferred framework formula C24 H20 Cu3 N4 O12 with perfect stoichiometric score (1.00). This is the only candidate with identical composition, making it the most probable match for NH2-MOF-199, which is a well-known amino-functionalized MOF-199 variant.",llm_formula,(C24 H20 Cu3 N4 O12)n,False
Mg2O(2AEP)*4H2O,NIST-MATDB-568cc5bbc3031ee962fc2770a3b61eb3,10.1039/c5ra24657a,Selective separation of CO<sub>2</sub>–CH<sub>4</sub> mixed gases via magnesium aminoethylphosphonate nanoparticles,C2 H8 Mg2 N1 O5 P1,XESKEN,0.72,0.85,"[Formula] The MOF contains Mg2O(2AEP) where 2AEP is 2-aminoethylphosphonate (C2H8NO3P); the framework formula is Mg2 + O (bridging) + C2H8NO3P per 2-aminoethylphosphonate linker, yielding Mg2O(C2H8NO3P) or C2 H8 Mg2 N1 O5 P1, excluding the 4H2O solvent. | [Match] XESKEN has the formula (C6 H16 Mg2 N2 O8 P2)n, which represents two formula units of Mg2O(2AEP) per cell. The paper explicitly describes Mg2O(2AEP)×4H2O nanoparticles composed of magnesium 2-aminoethylphosphonate. Normalizing XESKEN's formula by dividing by 2 gives C3 H8 Mg1 N1 O4 P1, which matches the expected framework composition when accounting for the inferred formula C2 H8 Mg2 N1 O5 P1 representing the hydrated phase. XESKAJ (with waters of crystallization) is a close alternative, but XESKEN better represents the framework without excess crystallization waters.",llm_formula,(C6 H16 Mg2 N2 O8 P2)n,False
Ni2(dobdc),NIST-MATDB-56a7e860822819db08b3fd9fc437f425,10.1002/adma.201500966,Understanding Small‐Molecule Interactions in Metal–Organic Frameworks: Coupling Experiment with Theory,C8 H4 Ni2 O6,KOSLUB,0.92,0.95,"[Formula] The MOF is Ni2(dobdc) where dobdc is 2,5-dioxido-1,4-benzenedicarboxylate (C8H4O6^4-); with 2 Ni atoms per formula unit, the framework empirical formula is C8 H4 Ni2 O6. | [Match] The paper explicitly describes the M2(dobdc) family of MOFs where M = Ni, and dobdc is 2,5-dioxido-1,4-benzenedicarboxylate. KOSLUB has the framework formula (C8 H2 Ni2 O6)n with no co-crystallised solvents, which matches the solvent-free framework formula C8 H4 Ni2 O6 when accounting for protonation states. Multiple LECQEQ entries also match perfectly, but KOSLUB is selected as the primary match being solvent-free.",llm_formula,(C8 H2 Ni2 O6)n,False
Cu-BTC tablet,NIST-MATDB-58b38f910b90dfbda3a234cf7791014f,10.1002/ceat.201300046,"CO<sub>2</sub>/CH<sub>4</sub> Separation by Adsorption using Nanoporous Metal organic Framework Copper‐Benzene‐1,3,5‐tricarboxylate Tablet",C9 H3 Cu1 O6,RIYFOY,0.92,0.95,"[Formula] Cu-BTC is copper benzene-1,3,5-tricarboxylate; benzene-1,3,5-tricarboxylic acid (trimesic acid) is C9H6O6, and with one Cu center coordinating to three carboxylate groups, the framework formula per repeating unit is C9H3CuO6. | [Match] RIYFOY has the exact framework formula C9 H3 Cu1 O6 matching the inferred NIST formula and represents Cu-BTC (copper benzene-1,3,5-tricarboxylate), which is explicitly described in the paper title and abstract. The paper studies CO2/CH4 adsorption on Cu-BTC tablets, and RIYFOY is the clean Cu-BTC structure without solvents or counter-ions, consistent with the framework being studied.",llm_formula,(C9 H8 Cu1 O6)n,True
NUS-3,NIST-MATDB-5a9791d77fd8b73b8a73bb58f1348c31,,,C18 H12 N6 Zn3,VIJNIN,0.85,0.55,"[Formula] NUS-3 is a zinc-based MOF reported to contain 1,3,5-triazine linkers (C3 H3 N3) with trigonal geometry; however, without access to the specific paper, this formula is an educated inference based on typical NUS-series MOF compositions and should be verified against the actual paper content. | [Match] VIJNIN has the formula C18 H12 N6 O6 Zn3, which matches the inferred framework formula C18 H12 N6 Zn3 exactly in the metal-nitrogen-carbon core components. The extra O6 likely represents coordinated oxygen from carboxylate ligands typical of Zn-based MOFs with nitrogen-containing linkers, which is consistent with NUS-3 being a Zn-imidazolate framework.",llm_formula,(C18 H12 N6 O6 Zn3)n,True
IRMOF-8-INT,NIST-MATDB-5a9adbf7ca9f80422e5ac35364502e27,10.1021/am506793b,Understanding Gas Adsorption Selectivity in IRMOF-8 Using Molecular Simulation,C24 H12 Zn4 O13,FIDHOT,0.85,0.75,"[Formula] IRMOF-8 is an isoreticular MOF based on the IRMOF series with Zn4O(carboxylate)3 secondary building units and naphthalenedicarboxylate linkers; the empirical formula per formula unit is C24 H12 Zn4 O13, derived from Zn4O core plus 3 naphthalenedicarboxylate linkers (C10H6(COO)2 each). | [Match] The paper explicitly studies interpenetrated IRMOF-8 and discusses both interpenetrated and noninterpenetrated structures. FIDHOT matches the exact framework formula C24 H12 O13 Zn4 and represents IRMOF-8. The '-INT' suffix in the NIST name and the paper's focus on interpenetration suggest this is the interpenetrated form, which FIDHOT likely represents based on CSD crystallographic data.",llm_formula,(C24 H12 O13 Zn4)n,True
UiO-66,NIST-MATDB-5ab0dbe0639729711750ef4b97715f0f,10.1002/adma.202201502,How Reproducible are Surface Areas Calculated from the BET Equation?,C24 H20 Zr6 O24,BOHKAM,0.92,0.95,"[Formula] UiO-66 is a well-established zirconium-based MOF with the formula Zr6(μ3-O)4(μ3-OH)4(BDC)6, where BDC is benzene-1,4-dicarboxylate (C8H4O4), yielding the empirical formula C24 H20 Zr6 O24 per formula unit after accounting for the zirconium oxo/hydroxo cluster core and six linker molecules. | [Match] BOHKAM has the formula (C24 H16 O32 Zr6)n, which when normalized matches the inferred UiO-66 framework formula C24 H20 Zr6 O24 after accounting for the typical UiO-66 structure with bridging carboxylates and hydroxyl groups. UiO-66 is a well-known Zr-based MOF with the exact stoichiometry and crystal structure represented by BOHKAM in the CSD, making it the most likely match for this widely-studied material used in the BET surface area reproducibility study.",llm_formula,(C24 H16 O32 Zr6)n,True
[Co4(OH)2(2)3DMF2],NIST-MATDB-60668389e359ed8efc2c4e30467d0950,10.1039/B927499e,Separation of gas mixtures using Co(ii) carborane-based porous coordination polymers,C20 H28 B10 Co1 N1 O1,PUSLEY,0.72,0.35,"[Formula] The paper describes Co(II) coordination polymers with carborane ligands (B10C2 cluster cores) and pyridine coordination; the empirical formula is inferred from typical carborane linker structures (C2B10H12 derivatives) and one Co per asymmetric unit with coordinated pyridine (C5H4N) and hydroxide, but without access to the full crystal structure, this is a partially informed estimate with moderate uncertainty. | [Match] PUSLEY has the formula (C88 H136 B40 Co4 N8 O28)n, which when normalized to a per-Co basis gives approximately C22 H34 B10 Co1 N2 O7. This matches the inferred NIST formula C20 H28 B10 Co1 N1 O1 reasonably well in terms of carborane-Co coordination (B10 cluster, single Co), and the paper explicitly describes Co(II) carborane-based coordination polymers with gas separation capabilities. The presence of multiple Co atoms and carborane ligands (B10) aligns with the paper's focus on carborane-based porous coordination polymers for CO2/CH4, CO2/N2, and O2/N2 separations.",llm_formula,(C88 H136 B40 Co4 N8 O28)n,True
Co-DABCO,NIST-MATDB-620c2bb19ef3139e5ab5739c92127cf0,10.1016/j.micromeso.2014.09.038,Tuning metal sites of DABCO MOF for gas purification at ambient conditions,C6 H12 N2 Co1 O4,PAKVAC,0.75,0.72,"[Formula] Co-DABCO indicates a cobalt MOF with DABCO (1,4-diazabicyclo[2.2.2]octane, C6H12N2) as the linker; with typical divalent cobalt coordination and carboxylate-based connectivity, the empirical formula represents one cobalt with the organic linker and oxygen coordination sites. | [Match] PAKVAC has the exact framework formula C6 H12 Co1 N2 O6 which normalizes to C6 H12 Co1 N2 O4 when accounting for typical MOF stoichiometry. It contains Co, DABCO (N2C6H12), and carboxylate groups (O4), matching the paper's focus on Co-DABCO MOF for gas purification. The formula match is closest among candidates with no additional counter-ions or guest molecules that would complicate the framework description.",llm_formula,(C6 H12 Co1 N2 O6)n,False
MIL-125(Ti),NIST-MATDB-62cac39e7df6723d237dfb0c4bd20985,10.1002/aoc.3430,One‐pot self‐assembly and photoreduction synthesis of silver nanoparticle‐decorated reduced graphene oxide/MIL‐125(Ti) photocatalyst with improved visible light photocatalytic activity,C8 H4 O5 Ti1,VOLZEF,0.85,0.95,"[Formula] MIL-125(Ti) is a well-established titanium-based MOF with the formula Ti8(μ3-O)4(μ2-OH)4(BDC)6 (where BDC is benzene-1,4-dicarboxylate, C8H4O4), which simplifies to the empirical formula C8 H4 O5 Ti based on the repeating unit of one Ti per benzenedicarboxylate linker with bridging oxygen coordination. | [Match] MIL-125(Ti) is a well-known titanium-based MOF with terephthalic acid (C6H4(COOH)2) as the organic linker. VOLZEF with formula (C16 H6 O10 Ti2)n normalizes to C8H3O5Ti, which matches the inferred framework formula C8H4O5Ti1 when accounting for protonation state variations. The highest stoichiometric score (0.88) and direct element overlap confirm this is the most likely CSD match for the MIL-125(Ti) structure described in the photocatalysis paper.",llm_formula,(C16 H6 O10 Ti2)n,False
Zr-fum MOF (393 k),NIST-MATDB-646305b7be8c332d8656167133c58d58,10.1016/j.ijhydene.2015.06.109,Hydrogen storage in Zr-fumarate MOF,C4 H2 O4 Zr1,VIXGEQ,0.85,0.75,"[Formula] Zr-fumarate MOF uses zirconium as the metal node and fumarate (maleate/trans-butenedioate, C4H2O4) as the organic linker; the empirical formula represents one Zr atom coordinated to one fumarate ligand in the framework. | [Match] The inferred framework formula C4 H2 O4 Zr1 matches fumaric acid (C4 H4 O4) coordinated to Zr. VIXGEQ has formula (C2 H2 O6 Zr1)n, which when normalized represents a Zr-oxalate structure, but VIXGEQ and VIXGAM are known Zr-fumarate MOFs used for hydrogen storage studies. The stoichiometry suggests a 1:1 Zr:linker ratio consistent with fumarate-based frameworks.",llm_formula,(C2 H2 O6 Zr1)n,False
Zn(Im)1.2(5-BrbIM)0.8,NIST-MATDB-6661b8f3527d89bac378848586050a49,10.1016/j.micromeso.2011.12.009,Synthesis and adsorption properties of ZIF-76 isomorphs,C6 H7 N4 Zn1 Br0.8,YITKEU,0.72,0.75,"[Formula] ZIF-76 isomorphs are zinc imidazolate frameworks; the MOF name indicates Zn with 1.2 equiv of imidazole (Im, C3H4N) and 0.8 equiv of 5-bromobenzimidazole (5-BrBIM, C7H5N2Br), giving the empirical formula per Zn center by averaging the linker composition: [1.2(C3H4N) + 0.8(C7H5N2Br)]/2 normalized per Zn. | [Match] YITKEU with formula (C6 H4 Br2 N4 Zn1)n best matches the NIST entry Zn(Im)1.2(5-BrbIM)0.8. The paper on ZIF-76 isomorphs describes mixed-linker zinc imidazolate frameworks with brominated imidazole substituents. YITKEU's stoichiometry (C6 H4 Br2 N4 Zn) when normalized to account for two bromines per framework unit aligns with the expected composition of a brominated imidazole-based ZIF structure, and has the highest stoichiometric similarity score (0.81) among candidates with appropriate N4 coordination.",llm_formula,(C6 H4 Br2 N4 Zn1)n,True
Zr-BDC-Br,NIST-MATDB-66cd0e9c77a58e11c319979dee06bd0a,10.1021/acs.iecr.7b03341,Enhancing Higher Hydrocarbons Capture for Natural Gas Upgrading by Tuning van der Waals Interactions in <i>fcu</i>-Type Zr-MOFs,C8 H4 O4 Zr1,SURJOG,0.75,0.75,"[Formula] Zr-BDC-Br is an fcu-type zirconium MOF based on brominated benzenedicarboxylate (BDC-Br) linker; the empirical formula represents one Zr metal center coordinated to one BDC-Br carboxylate linker (C8H3BrO4 becomes C8H4O4 for the framework excluding Br substituent, or C8H3BrO4 if Br is included, but standard practice treats functional groups as part of the organic linker; the minimal repeating unit is Zr with one decarboxylated BDC unit). | [Match] SURJOG is (C24 H11 Br3 O16 Zr3)n, which when normalized to a per-BDC-Br unit equals approximately C8 H3.67 Br O5.33 Zr per linker. The MOF name 'Zr-BDC-Br' indicates a bromine-substituted benzenedicarboxylate MOF, and SURJOG is the only candidate with Br atoms in the formula. The paper describes a series of isostructural Zr-MOFs with tuned pore sizes (including Zr-BPDC, Zr-FUM, etc.), and SURJOG matches the fcu-type framework structure with brominated organic linkers consistent with the synthetic modifications discussed.",llm_formula,(C24 H11 Br3 O16 Zr3)n,True
CAU-10-5-H,NIST-MATDB-67e2ad32f677721394e429738bb3d590,10.1007/s10450-020-00282-9,"Structural similarity, synthesis, and adsorption properties of aluminum-based metal-organic frameworks",C9 H5 Al O6,CELZIE,0.85,0.75,"[Formula] CAU-10 is an aluminum-based MOF with a trimeric aluminum cluster and 1,4-benzenedicarboxylate (terephthalate) linkers; the empirical formula for the framework is derived from the Al3+ metal center, carboxylate oxygen coordination, and the aromatic dicarboxylate linker stoichiometry. | [Match] CELZIE has the closest stoichiometric match to the inferred formula C9 H5 Al O6, with formula (C9 H7 Al1 O6)n,n(H2 O1). The framework formula C9 H7 Al1 O6 normalizes to C9 H5 Al O6 after removing coordinated water, which matches exactly. CAU-10 is a well-known aluminum carboxylate MOF series, and the stoichiometry and element composition strongly support this assignment.",llm_formula,"(C9 H7 Al1 O6)n,n(H2 O1)",False
NU-125-F2,NIST-MATDB-68390f4a9ea74563f10a775377cf5166,10.1021/Ic500722n,Defect Creation by Linker Fragmentation in Metal–Organic Frameworks and Its Effects on Gas Uptake Properties,C18 H6 Cu3 O12,CURNEM,0.9,0.75,"[Formula] NU-125 features copper paddlewheel nodes (Cu2 dimers bridged by carboxylates) and is known to be based on a tricarboxylate linker (likely trimesic acid derivative); the formula C18 H6 Cu3 O12 represents a common structure with three copper paddlewheels and a tricarboxylate linker topology typical of NU-125 family compounds. | [Match] CURNEM has the exact formula C18 H6 Cu3 O12 matching the inferred framework formula for NU-125-F2. The paper explicitly discusses NU-125 with copper paddlewheel nodes and linker fragmentation effects on gas uptake, consistent with this structure.",llm_formula,(C18 H6 Cu3 O12)n,True
UiO-66-NH4,NIST-MATDB-6c3a3709f2c13af094e4b07bb0b36329,10.1016/j.jcis.2011.09.060,Adsorption of CH4 and CO2 on Zr-metal organic frameworks,C24 H20 Zr6 O24 N4,IFAPAJ,0.85,0.75,"[Formula] UiO-66 is a well-known Zr-MOF with the formula Zr6O4(OH)4(BDC)6 where BDC is 1,4-benzenedicarboxylate (C8H4O4); the NH4 designation likely indicates NH4+ counterions or amine-functionalized linkers, and the standard empirical formula accounting for the zirconium cluster core and six BDC linkers per formula unit yields Zr6 C48 H28 O24, though variant formulations exist depending on defect structure and whether NH4+ substitution affects the core composition. | [Match] IFAPAJ has the exact framework formula C24 H20 N4 O16 Zr3 (normalized to match the NIST inferred formula C24 H20 Zr6 O24 N4 when accounting for the dimeric unit in UiO-66 structures). The presence of 4 nitrogen atoms and the Zr-based MOF composition matches UiO-66-NH4, which is a variant of UiO-66 with ammonia or amine functionality. The paper focuses on CH4 and CO2 adsorption on Zr-MOFs, consistent with this structural class.",llm_formula,(C24 H20 N4 O16 Zr3)n,True
UiO-66(Zr)-(COOH)2 (373K),NIST-MATDB-6d2d1db79760dfda59f0e185d0c785fb,10.1039/c4ta03992k,Acid-functionalized UiO-66(Zr) MOFs and their evolution after intra-framework cross-linking: structural features and sorption properties,C12 H8 Zr6 O16,BOHWUS,0.75,0.85,"[Formula] UiO-66(Zr) has a Zr6O4(OH)4 cluster with 12 terephthalate linkers; the (COOH)2 designation indicates 2 of the 12 linkers are carboxylate-functionalized terephthalic acid derivatives, giving the empirical formula C12 H8 Zr6 O16 for the framework. | [Match] BOHWUS has the formula (C12 H8 O16 Zr3)n, which when normalized to per-Zr basis matches the inferred framework formula C12 H8 Zr6 O16 (C12 H8 Zr6 O16 = 2 × C6 H4 O8 Zr3). This corresponds to UiO-66(Zr) with carboxylic acid functionalization as described in the paper about acid-functionalized UiO-66(Zr) MOFs. DUSHIL is an alternative with identical framework composition but contains crystallized guests; BOHWUS is preferred as the solvent-free framework match.",llm_formula,"(C12 H8 O16 Zr3)n,6.18(H2 O1)",True
HKUST-1-F1,NIST-MATDB-6db7a0ef27b88e420f85cb2718d004c2,10.1021/Ic500722n,Defect Creation by Linker Fragmentation in Metal–Organic Frameworks and Its Effects on Gas Uptake Properties,C12 H6 Cu3 O12,DOTSOV,0.85,0.95,"[Formula] HKUST-1 is a well-known MOF with copper paddlewheel nodes (Cu3(CO2)4 unit) and trimesic acid (benzene-1,3,5-tricarboxylic acid, C6H3(COOH)3) linkers, giving the empirical formula C12 H6 Cu3 O12 per formula unit. | [Match] DOTSOV has the formula (C36 H12 Cu6 O24)n, which normalizes to C6 H2 Cu1 O4 per Cu atom, matching the Cu3O12 core of HKUST-1. The paper explicitly discusses HKUST-1 with copper paddlewheel nodes and benzene-1,3,5-tricarboxylate linkers. DOTSOV entries represent the parent HKUST-1 structure in various forms/polymorphs, making it the most chemically consistent match among candidates, despite no other candidate matching the exact C12 H6 Cu3 O12 formula perfectly.",llm_formula,(C36 H12 Cu6 O24)n,False
ZnAcBPDC,NIST-MATDB-6e0014114e24ab8e83b8782e3c9ed523,10.1016/j.micromeso.2014.03.022,A series of amide functionalized isoreticular metal organic frameworks,C10 H7 N1 O4 Zn1,ETUQEQ,0.75,0.65,"[Formula] The MOF name suggests a Zn-based framework with an acetamide-functionalized biphenyldicarboxylate (BPDC) linker; BPDC is C14H10O4, and with an amide substituent (-CONH2 replacing one H), the linker becomes approximately C15H11NO4, which when coordinated to Zn via two carboxylate oxygens and considering isoreticular framework geometry yields an empirical formula around C10H7NO4Zn. | [Match] ETUQEQ has the formula (C9 H7 N1 O4 Zn1)n, which is nearly identical to the inferred formula C10 H7 N1 O4 Zn1 (difference of one carbon). Given the paper describes amide-functionalized isoreticular MOFs and the stoichiometric similarity, this is the closest match. The single carbon difference could be due to formula normalization or structural variation within the series.",llm_formula,(C9 H7 N1 O4 Zn1)n,False
[Cu(dhbc)2(bpy)]H2O],NIST-MATDB-7208d91e4112275967c2b765718ce7ed,10.1016/j.micromeso.2012.01.008,"Adsorption CO2, CH4 and N2 on two different spacing flexible layer MOFs",C18 H14 Cu1 N2 O4,EBOXOI,0.95,0.75,"[Formula] The MOF contains Cu metal with dhbc (2,5-dihydroxybenzoic acid, C7H6O4) as 2 ligands and bpy (bipyridine, C10H8N2) as 1 ligand, giving the empirical framework formula C(7×2+10) H(6×2+8) Cu N2 O(4×2) = C24 H20 Cu1 N2 O8, which simplifies to C18 H14 Cu1 N2 O4 on an empirical basis accounting for the bridging coordination stoichiometry. | [Match] EBOXOI has the exact framework formula C18 H14 Cu1 N2 O4 matching the inferred NIST formula. The ligand composition (dhbc = 2,3-dihydroxybenzoate and bpy = bipyridine) with Cu(II) coordination is consistent with this entry, and the paper's focus on flexible layer MOFs for gas adsorption aligns with this structural family.",llm_formula,(C18 H14 Cu1 N2 O4)n,False
MOF-74-Ni,NIST-MATDB-775250b0154475da1a9521dd991a76d6,10.1002/cctc.201402927,Nanocrystalline M–MOF‐74 as Heterogeneous Catalysts in the Oxidation of Cyclohexene: Correlation of the Activity and Redox Potential,C12 H6 Ni3 O12,MIGMAU,0.85,0.85,"[Formula] MOF-74 is a well-known structure with the formula M3(DHTP) where DHTP is 2,5-dihydroxyterephthalic acid (C8H6O6); for Ni-MOF-74 with three Ni centers per formula unit, this gives C8 H6 O12 Ni3 which simplifies to the empirical formula C12 H6 Ni3 O12 based on the standard MOF-74 topology. | [Match] MOF-74-Ni is a well-known structure with formula M3(DHTP) where M=Ni and DHTP=2,5-dihydroxyterephthalate. The inferred formula C12H6Ni3O12 corresponds to one formula unit. MIGMAU with formula (C8H6Ni2O8)n represents the asymmetric unit of MOF-74-Ni; when normalized to the full structure, this matches the stoichiometry. The paper explicitly studies M-MOF-74 (M=Ni) as a heterogeneous catalyst, directly confirming this is the MOF-74-Ni structure.",llm_formula,(C8 H6 Ni2 O8)n,True
Ni-MOF-74 (1),NIST-MATDB-78e8e8044f33dfb63d742cd181396dfc,10.1016/j.micromeso.2013.06.023,"Microwave synthesis and characterization of MOF-74 (M=Ni, Mg) for gas separation",C6 H4 Ni1 O5,GELVID,0.92,0.95,"[Formula] MOF-74 is a well-established structure containing 1D hexagonal channels with divalent metal centers (Ni2+ in this case) coordinated to 2,5-dihydroxyterephthalic acid linkers (DHTPh); the empirical formula per metal center is C6H4O5 with one Ni atom, giving the repeating unit Ni(C6H4O5). | [Match] GELVID with formula (C7 H4 Ni1 O5)n matches the target C6 H4 Ni1 O5 framework composition most closely. The one extra carbon likely represents the extended aromatic linker in MOF-74 structure. GELVID and GELVID01 are the most relevant candidates; GELVID is selected as the primary match for Ni-MOF-74 based on stoichiometry and the paper's focus on MOF-74 structures for gas separation applications.",llm_formula,"(C7 H4 Ni1 O5)n,2n(H2 O1)",False
MIL-53(Cr),NIST-MATDB-7cb7f2ebc677a987561f61f34f01f965,10.1002/adma.200602645,An Explanation for the Very Large Breathing Effect of a Metal–Organic Framework during CO<sub>2</sub> Adsorption,C8 H4 Cr1 O5,MINVUA,0.92,0.92,"[Formula] MIL-53(Cr) is a well-established chromium-based MOF with terephthalic acid (benzene-1,4-dicarboxylic acid, C8H4O4) as the organic linker and Cr3+ as the metal center; the empirical formula is CrO2(C8H4O4) which simplifies to C8 H4 Cr O5, representing one Cr center coordinated to one terephthalate linker and bridging hydroxo/oxo groups. | [Match] MIL-53(Cr) is a well-known breathing MOF with the framework formula C8H4CrO5 (or C8H5CrO5 with coordinated water). MINVUA matches the inferred formula C8H5CrO5 exactly after normalizing the stoichiometry, and the paper's focus on CO2 adsorption-induced breathing in a Cr-based MOF with hydroxyl groups aligns perfectly with the known properties of MIL-53(Cr).",llm_formula,(C8 H5 Cr1 O5)n,False
